CODGEO;P22_POP;P16_POP;SUPERF;NAIS1621;DECE1621;P22_MEN;NAISD24;DECESD24;P22_LOG;P22_RP;P22_RSECOCC;P22_LOGVAC;P22_RP_PROP;NBMENFISC21;PIMP21;MED21;TP6021;P22_EMPLT;P22_EMPLT_SAL;P16_EMPLT;P22_POP1564;P22_CHOM1564;P22_ACT1564;ETTOT24;ETAZ24;ETBE24;ETFZ24;ETGU24;ETOQ24;ETTEF124;ETTEFP1024
01073;1028;1012;19.72;39;45;472.249324300134;7;8;599.35192787548;472.249324300134;83.6201339311485;43.4824696441972;401.803725571102;457;s;25250;s;94.7491026874929;51.2697142423903;103.560422490319;575.927579086198;26.1350569037168;452.90570630893;21;2;1;7;9;2;17;2
01074;2544;2406;32.88;176;212;1095;21;42;1200;1095;29;76;639;1029;50,0;23720;11,0;675.689611587463;507.728470339921;642.28448678596;1536;88;1266;89;7;9;11;50;12;67;14
01075;1436;1296;17;123;32;578.622292283574;18;6;614.271123407422;578.622292283574;8.38796026443472;27.2608708594128;411.413638741972;555;s;24890;s;435.728490903972;351.804181191687;476.055962074436;949.458065404616;51.2546486310959;787.418039431867;60;7;8;16;25;4;44;12
01076;127;137;4.6;7;14;77.7751937984496;0;1;147.775193798449;77.7751937984496;52.238805970149;17.7611940298507;63.9922480620155;86;s;21070;s;7.08092212488546;4.03464379313392;20.1227522669435;76.7906976744186;5.90697674418605;49.2248062015504;2;0;0;0;1;1;1;0
01077;185;193;7.65;19;11;94;1;2;137;94;19;24;74;92;s;24620;s;13;1;21.9984864370287;95;7;82;3;1;1;0;0;1;3;0
01078;1628;1450;8.67;67;105;647.238282913707;9;21;767.412701518357;647.238282913707;70.8720930232554;49.302325581395;472.771622158856;561;s;44460;s;157.133854365058;124.280479337612;161.103220799258;1004.56462888345;53.1286137482655;817.030762749516;11;0;1;1;5;4;9;2
01079;826;825;18.16;27;151;313.867511689472;5;29;439.577395528116;313.867511689472;68.476115586904;57.2337682517406;199.35593839804;308;s;22770;s;334.14718777963;266.460686154171;348.21484318814;406.481444404137;21.4608490153847;305.575011123039;39;7;1;1;21;9;27;6
01080;655;657;31.53;20;28;296.904992129656;5;3;414.439035038947;296.904992129656;94.6513088915531;22.8827340177381;218.41478061143;281;s;23720;s;95.2122905589121;66.1957448892358;100.240712453299;380.179278003714;21.6727604104859;308.281637612145;14;5;2;1;4;2;9;2
01081;709;729;32.4;44;34;350.162140427912;1;11;458.108072213661;350.162140427912;61.5392695227166;46.4066622630322;213.355086145986;322;s;27400;s;447.295943294181;411.685829054243;457.546069617865;441.170726740386;32.7844914009495;361.71181932451;15;0;2;2;7;4;9;2
01082;595;633;18.1;37;24;233.07338231671;5;3;293.936664760831;233.07338231671;33.5797420381357;27.2835404059852;184.042688796423;215;s;27880;s;161.329180532773;139.557828476523;178.493164009984;365.310839860912;9.35944971869286;257.297146078343;9;3;0;1;2;3;5;2
